Ledger_Number,Row_Count,Transaction_Fee_med,Transaction_Fee_avg,Transaction_Fee_max,Transaction_Fee_min,Transaction_Fee_sum
63218495,35,12.0,12.0,12,12,420
63221495,46,12.0,372.7173913043478,6235,10,17145
63224495,38,12.0,12.078947368421053,15,12,459
63227495,29,12.0,17.03448275862069,150,12,494
63230495,45,12.0,11.866666666666667,12,10,534
63233495,24,12.0,12.0,12,12,288
63236495,37,12.0,12.0,12,12,444
63239495,28,12.0,12.0,12,12,336
63242495,25,12.0,22.88,150,10,572
63245495,28,12.0,12.0,12,12,336
63248495,34,12.0,12.0,12,12,408
63251495,44,12.0,11.318181818181818,12,10,498
63254495,22,12.0,12.0,12,12,264
63257495,28,12.0,12.0,12,12,336
63260495,23,12.0,462.2173913043478,5254,10,10631
63263495,37,12.0,12.72972972972973,49,10,471
63266495,35,12.0,354.9428571428571,6020,12,12423
63269495,51,12.0,11.764705882352942,12,10,600
63272495,21,12.0,1029.6666666666667,5571,12,21623
63275495,43,12.0,12.0,12,12,516
63278495,40,12.0,12.0,12,12,480
63281495,30,12.0,12.0,12,12,360
63284495,29,12.0,376.0,5294,10,10904
63287495,30,12.0,21.2,150,12,636
63290495,48,12.0,76.85416666666667,1500,11,3689
63293495,40,12.0,12.0,12,12,480
63296495,45,12.0,12.0,12,12,540
63299495,36,12.0,12.0,12,12,432
63302495,36,12.0,12.0,12,12,432
63305495,45,12.0,17.288888888888888,250,12,778
63308495,29,12.0,13.724137931034482,62,12,398
63311495,29,12.0,14.379310344827585,81,12,417
63314495,32,12.0,12.0,12,12,384
63317495,36,12.0,12.0,12,12,432
63320495,42,12.0,11.904761904761905,12,10,500
63323495,28,12.0,11.5,12,10,322
63326495,38,12.0,12.0,12,12,456
63329495,46,12.0,11.782608695652174,12,10,542
63332495,28,12.0,28.285714285714285,209,12,792
63335495,59,12.0,33.25423728813559,160,10,1962
63338495,43,12.0,11.86046511627907,12,10,510
63341495,65,12.0,22.584615384615386,150,11,1468
63344495,31,12.0,11.67741935483871,12,10,362
63347495,25,12.0,257.8,6157,12,6445
63350495,34,12.0,390.5882352941176,6500,10,13280
63353495,36,12.0,19.5,150,10,702
63356495,46,12.0,123.19565217391305,5135,10,5667
63359495,42,12.0,25.142857142857142,150,12,1056
63362495,39,12.0,11.692307692307692,12,10,456
63365495,60,12.0,1848.4666666666667,100001,10,110908
63368495,56,12.0,11.75,12,10,658
63371495,33,12.0,1822.6363636363637,12074,10,60147
63374495,40,12.0,11.45,12,10,458
63377495,34,12.0,12.0,12,12,408
63380495,27,12.0,12.0,12,12,324
63383495,36,12.0,12.0,12,12,432
63386495,33,12.0,16.060606060606062,150,10,530
63389495,50,12.0,17.16,150,10,858
63392495,37,12.0,95.37837837837837,2732,12,3529
63395495,54,12.0,1226.8703703703704,6928,10,66251
63398495,34,12.0,15.705882352941176,150,10,534
63401495,36,12.0,12.0,12,12,432
63404495,45,12.0,344.8888888888889,15000,10,15520
63407495,40,12.0,11.9,12,10,476
63410495,24,12.0,17.75,150,12,426
63413495,50,12.0,11.92,12,10,596
63416495,36,12.0,11.944444444444445,12,10,430
63419495,24,12.0,12.0,12,12,288
63422495,36,12.0,12.0,12,12,432
63425495,42,12.0,11.952380952380953,12,10,502
63428495,46,12.0,14.869565217391305,150,10,684
63431495,40,12.0,15.35,150,10,614
63434495,39,12.0,11.948717948717949,12,10,466
63437495,42,12.0,11.714285714285714,12,10,492
63440495,28,12.0,11.785714285714286,12,11,330
63443495,35,12.0,11.885714285714286,12,10,416
63446495,28,12.0,12.0,12,12,336
63449495,36,12.0,12.0,12,12,432
63452495,27,12.0,23.703703703703702,190,12,640
63455495,43,12.0,11.906976744186046,12,10,512
63458495,42,12.0,12.0,12,12,504
63461495,40,12.0,11.9,12,10,476
63464495,27,12.0,400.1111111111111,5378,12,10803
63467495,39,12.0,11.64102564102564,12,10,454
63470495,18,12.0,11.88888888888889,12,10,214
63473495,26,12.0,12.0,12,12,312
63476495,44,12.0,12.0,12,12,528
63479495,41,12.0,161.14634146341464,6130,11,6607
63482495,31,12.0,12.0,12,12,372
63485495,42,12.0,133.14285714285714,5120,10,5592
63488495,32,12.0,12.0,12,12,384
63491495,25,12.0,11.92,12,10,298
63494495,37,12.0,46.108108108108105,1000,10,1706
63497495,27,12.0,85.18518518518519,1000,12,2300
63500495,42,12.0,17.38095238095238,150,12,730
63503495,28,12.0,11.785714285714286,12,10,330
63506495,44,12.0,17.227272727272727,250,10,758
63509495,28,12.0,12.0,12,12,336
63512495,29,12.0,12.0,12,12,348
63515495,30,12.0,12.2,20,10,366
63518495,52,12.0,11.788461538461538,12,10,613
63521495,56,12.0,109.875,5097,10,6153
63524495,36,12.0,12.0,12,12,432
63527495,47,12.0,1067.6170212765958,6146,10,50178
63530495,27,12.0,222.11111111111111,5553,10,5997
63533495,38,12.0,1493.2368421052631,5129,12,56743
63536495,33,12.0,16.12121212121212,150,10,532
63539495,26,12.0,825.9615384615385,5488,10,21475
63542495,34,12.0,12.0,12,12,408
63545495,45,12.0,14.666666666666666,150,10,660
63548495,59,12.0,98.08474576271186,5105,10,5787
63551495,46,12.0,147.91304347826087,6000,10,6804
63554495,42,12.0,14.952380952380953,150,10,628
63557495,44,12.0,11.909090909090908,12,10,524
63560495,29,12.0,205.27586206896552,5618,11,5953
63563495,33,12.0,12.0,12,12,396
63566495,36,12.0,11.777777777777779,15,10,424
63569495,28,12.0,12.0,12,12,336
63572495,43,12.0,251.67441860465115,5233,10,10822
63575495,23,12.0,17.565217391304348,150,10,404
