Ledger_Number,Ledger_Date,Row_Count,Transaction_Fee_med,Transaction_Fee_avg,Transaction_Fee_max,Transaction_Fee_min,Transaction_Fee_sum
92014495,2024-11-10T10:47:11.000Z,24,15.0,14.25,20.0,10.0,342.0
92014995,2024-11-10T11:19:50.000Z,40,10.0,17.85,150.0,10.0,714.0
92015495,2024-11-10T11:52:30.000Z,5,15.0,15.0,20.0,10.0,75.0
92015995,2024-11-10T12:25:00.000Z,23,10.0,18.52173913043478,150.0,10.0,426.0
92016495,2024-11-10T12:57:51.000Z,38,15.0,29.68421052631579,221.0,10.0,1128.0
92016995,2024-11-10T13:31:00.000Z,29,15.0,27.103448275862068,221.0,10.0,786.0
92017495,2024-11-10T14:03:51.000Z,42,10.0,23.761904761904763,221.0,10.0,998.0
92017995,2024-11-10T14:36:21.000Z,55,10.0,24.418181818181818,150.0,10.0,1343.0
92018495,2024-11-10T15:09:11.000Z,40,15.0,13.55,30.0,10.0,542.0
92018995,2024-11-10T15:42:01.000Z,37,10.0,13.243243243243244,30.0,10.0,490.0
92019495,2024-11-10T16:14:40.000Z,34,15.0,324.4117647058824,5328.0,10.0,11030.0
92019995,2024-11-10T16:47:20.000Z,42,10.0,13.380952380952381,30.0,10.0,562.0
92020495,2024-11-10T17:20:00.000Z,22,12.0,14.272727272727273,30.0,10.0,314.0
92020995,2024-11-10T17:52:22.000Z,56,10.0,17.875,221.0,10.0,1001.0
92021495,2024-11-10T18:24:41.000Z,35,10.0,12.257142857142858,20.0,10.0,429.0
92021995,2024-11-10T18:57:20.000Z,43,15.0,19.558139534883722,150.0,10.0,841.0
92022495,2024-11-10T19:30:00.000Z,30,10.0,18.366666666666667,100.0,10.0,551.0
92022995,2024-11-10T20:02:41.000Z,44,12.0,31.5,221.0,10.0,1386.0
92023495,2024-11-10T20:35:31.000Z,18,15.0,31.666666666666668,150.0,10.0,570.0
92023995,2024-11-10T21:08:20.000Z,71,15.0,1114.2957746478874,5957.0,10.0,79115.0
92024495,2024-11-10T21:41:11.000Z,49,10.0,17.897959183673468,150.0,10.0,877.0
92024995,2024-11-10T22:13:50.000Z,27,10.0,12.074074074074074,20.0,10.0,326.0
92025495,2024-11-10T22:46:31.000Z,43,15.0,629.8604651162791,5359.0,10.0,27084.0
92025995,2024-11-10T23:18:52.000Z,15,15.0,12.933333333333334,15.0,10.0,194.0
92026495,2024-11-10T23:51:32.000Z,33,10.0,16.575757575757574,150.0,10.0,547.0
92026995,2024-11-11T00:24:22.000Z,30,15.0,20.7,221.0,10.0,621.0
92027495,2024-11-11T00:57:01.000Z,29,10.0,12.827586206896552,20.0,10.0,372.0
92027995,2024-11-11T01:29:11.000Z,23,15.0,13.695652173913043,20.0,10.0,315.0
92028495,2024-11-11T02:01:30.000Z,20,10.0,11.05,20.0,10.0,221.0
92028995,2024-11-11T02:34:00.000Z,32,10.0,16.15625,150.0,10.0,517.0
92029495,2024-11-11T03:06:01.000Z,23,10.0,13.695652173913043,70.0,10.0,315.0
92029995,2024-11-11T03:38:01.000Z,17,10.0,12.294117647058824,20.0,10.0,209.0
92030495,2024-11-11T04:10:10.000Z,36,15.0,12.63888888888889,15.0,10.0,455.0
92030995,2024-11-11T04:42:32.000Z,12,10.0,10.833333333333334,15.0,10.0,130.0
92031495,2024-11-11T05:14:20.000Z,22,15.0,50.36363636363637,150.0,10.0,1108.0
92031995,2024-11-11T05:46:41.000Z,26,15.0,14.807692307692308,20.0,10.0,385.0
92032495,2024-11-11T06:19:10.000Z,46,15.0,21.5,150.0,10.0,989.0
92032995,2024-11-11T06:51:12.000Z,29,15.0,21.482758620689655,221.0,10.0,623.0
92033495,2024-11-11T07:23:21.000Z,32,13.5,19.1875,221.0,10.0,614.0
92033995,2024-11-11T07:55:32.000Z,11,15.0,19.09090909090909,30.0,10.0,210.0
92034495,2024-11-11T08:27:32.000Z,12,10.0,11.25,15.0,10.0,135.0
92034995,2024-11-11T09:00:00.000Z,11,15.0,12.909090909090908,15.0,10.0,142.0
92035495,2024-11-11T09:32:11.000Z,4,15.0,15.0,20.0,10.0,60.0
92035995,2024-11-11T10:04:40.000Z,9,15.0,14.444444444444445,20.0,10.0,130.0
92036495,2024-11-11T10:36:51.000Z,41,15.0,17.317073170731707,150.0,10.0,710.0
92036995,2024-11-11T11:09:10.000Z,18,15.0,16.38888888888889,20.0,15.0,295.0
92037495,2024-11-11T11:41:41.000Z,30,13.5,13.466666666666667,20.0,10.0,404.0
92037995,2024-11-11T12:14:02.000Z,28,15.0,213.14285714285714,5384.0,10.0,5968.0
92038495,2024-11-11T12:46:42.000Z,47,15.0,777.5531914893617,5076.0,10.0,36545.0
92038995,2024-11-11T13:19:22.000Z,29,15.0,20.896551724137932,150.0,10.0,606.0
92039495,2024-11-11T13:52:01.000Z,56,15.0,493.73214285714283,5689.0,10.0,27649.0
92039995,2024-11-11T14:24:50.000Z,22,15.0,33.36363636363637,150.0,10.0,734.0
92040495,2024-11-11T14:57:12.000Z,22,15.0,22.09090909090909,150.0,12.0,486.0
92040995,2024-11-11T15:29:41.000Z,39,10.0,16.0,150.0,10.0,624.0
92041495,2024-11-11T16:02:20.000Z,43,10.0,696.6046511627907,6093.0,10.0,29954.0
92041995,2024-11-11T16:35:11.000Z,24,15.0,14.708333333333334,20.0,10.0,353.0
92042495,2024-11-11T17:08:00.000Z,27,15.0,18.48148148148148,100.0,10.0,499.0
92042995,2024-11-11T17:40:41.000Z,13,15.0,15.538461538461538,20.0,10.0,202.0
