Ledger_Number,Ledger_Date,Row_Count,Transaction_Fee_med,Transaction_Fee_avg,Transaction_Fee_max,Transaction_Fee_min,Transaction_Fee_sum
89950495,2024-08-09T23:47:02.000Z,21,10.0,13.428571428571429,20.0,10.0,282.0
89950995,2024-08-10T00:19:20.000Z,27,10.0,15.148148148148149,68.0,10.0,409.0
89951495,2024-08-10T00:51:32.000Z,15,20.0,33.13333333333333,150.0,10.0,497.0
89951995,2024-08-10T01:24:00.000Z,16,12.0,13.625,20.0,10.0,218.0
89952495,2024-08-10T01:56:11.000Z,38,10.0,12.421052631578947,20.0,10.0,472.0
89952995,2024-08-10T02:28:40.000Z,31,10.0,11.96774193548387,20.0,10.0,371.0
89953495,2024-08-10T03:01:01.000Z,21,10.0,1194.4761904761904,6183.0,10.0,25084.0
89953995,2024-08-10T03:33:11.000Z,43,10.0,15.767441860465116,150.0,10.0,678.0
89954495,2024-08-10T04:05:30.000Z,25,12.0,13.64,20.0,10.0,341.0
89954995,2024-08-10T04:37:30.000Z,38,10.0,19.289473684210527,150.0,10.0,733.0
89955495,2024-08-10T05:09:31.000Z,9,20.0,16.333333333333332,20.0,10.0,147.0
89955995,2024-08-10T05:41:20.000Z,11,10.0,14.545454545454545,20.0,10.0,160.0
89956495,2024-08-10T06:13:31.000Z,34,10.0,12.294117647058824,20.0,10.0,418.0
89956995,2024-08-10T06:45:31.000Z,30,10.0,12.066666666666666,20.0,10.0,362.0
89957495,2024-08-10T07:17:30.000Z,35,10.0,12.085714285714285,20.0,10.0,423.0
89957995,2024-08-10T07:49:30.000Z,31,10.0,12.516129032258064,20.0,10.0,388.0
89958495,2024-08-10T08:21:22.000Z,27,10.0,12.148148148148149,20.0,10.0,328.0
89958995,2024-08-10T08:53:21.000Z,25,10.0,12.52,20.0,10.0,313.0
89959495,2024-08-10T09:25:21.000Z,25,10.0,14.08,50.0,10.0,352.0
89959995,2024-08-10T09:57:20.000Z,26,10.0,11.346153846153847,20.0,10.0,295.0
89960495,2024-08-10T10:29:21.000Z,11,20.0,27.727272727272727,150.0,10.0,305.0
89960995,2024-08-10T11:01:11.000Z,38,10.0,13.31578947368421,68.0,10.0,506.0
89961495,2024-08-10T11:33:20.000Z,23,12.0,13.826086956521738,20.0,10.0,318.0
89961995,2024-08-10T12:05:20.000Z,22,10.0,12.954545454545455,20.0,10.0,285.0
89962495,2024-08-10T12:37:32.000Z,20,10.0,13.0,20.0,10.0,260.0
89962995,2024-08-10T13:09:42.000Z,13,12.0,15.153846153846153,20.0,10.0,197.0
89963495,2024-08-10T13:41:52.000Z,26,10.0,12.923076923076923,20.0,10.0,336.0
89963995,2024-08-10T14:14:00.000Z,20,10.0,13.6,20.0,10.0,272.0
89964495,2024-08-10T14:46:01.000Z,22,12.0,14.272727272727273,20.0,10.0,314.0
89964995,2024-08-10T15:18:01.000Z,27,12.0,18.444444444444443,150.0,10.0,498.0
89965495,2024-08-10T15:50:02.000Z,30,10.0,17.4,150.0,10.0,522.0
89965995,2024-08-10T16:22:12.000Z,30,11.0,21.766666666666666,150.0,10.0,653.0
89966495,2024-08-10T16:54:11.000Z,15,12.0,14.333333333333334,20.0,10.0,215.0
89966995,2024-08-10T17:26:12.000Z,28,10.0,12.321428571428571,20.0,10.0,345.0
89967495,2024-08-10T17:58:12.000Z,27,10.0,13.037037037037036,20.0,10.0,352.0
89967995,2024-08-10T18:30:30.000Z,21,12.0,14.380952380952381,20.0,10.0,302.0
89968495,2024-08-10T19:02:31.000Z,23,12.0,13.956521739130435,20.0,10.0,321.0
89968995,2024-08-10T19:34:42.000Z,39,10.0,12.051282051282051,30.0,10.0,470.0
89969495,2024-08-10T20:06:50.000Z,44,10.0,16.068181818181817,221.0,10.0,707.0
89969995,2024-08-10T20:38:52.000Z,35,10.0,12.142857142857142,20.0,10.0,425.0
89970495,2024-08-10T21:11:02.000Z,31,10.0,13.290322580645162,30.0,10.0,412.0
89970995,2024-08-10T21:43:10.000Z,18,14.0,14.88888888888889,20.0,10.0,268.0
89971495,2024-08-10T22:15:11.000Z,10,17.5,15.5,20.0,10.0,155.0
89971995,2024-08-10T22:47:21.000Z,15,20.0,780.0,5850.0,12.0,11700.0
89972495,2024-08-10T23:19:31.000Z,20,10.0,11.5,20.0,10.0,230.0
89972995,2024-08-10T23:51:31.000Z,22,10.0,14.181818181818182,30.0,10.0,312.0
89973495,2024-08-11T00:23:42.000Z,24,12.0,14.666666666666666,20.0,10.0,352.0
89973995,2024-08-11T00:56:02.000Z,30,10.0,11.9,20.0,10.0,357.0
89974495,2024-08-11T01:28:20.000Z,26,12.0,13.538461538461538,20.0,10.0,352.0
89974995,2024-08-11T02:00:32.000Z,37,10.0,14.378378378378379,70.0,10.0,532.0
89975495,2024-08-11T02:32:51.000Z,19,10.0,12.894736842105264,20.0,10.0,245.0
89975995,2024-08-11T03:05:01.000Z,43,12.0,22.651162790697676,150.0,10.0,974.0
89976495,2024-08-11T03:37:12.000Z,25,12.0,16.96,30.0,10.0,424.0
89976995,2024-08-11T04:09:30.000Z,34,10.0,12.470588235294118,20.0,10.0,424.0
89977495,2024-08-11T04:41:32.000Z,20,10.0,14.0,20.0,10.0,280.0
89977995,2024-08-11T05:13:32.000Z,49,15.0,15.020408163265307,30.0,10.0,736.0
89978495,2024-08-11T05:45:42.000Z,35,10.0,12.457142857142857,20.0,10.0,436.0
89978995,2024-08-11T06:17:51.000Z,56,10.0,13.625,30.0,10.0,763.0
89979495,2024-08-11T06:50:11.000Z,53,12.0,14.30188679245283,30.0,10.0,758.0
89979995,2024-08-11T07:22:30.000Z,35,12.0,13.257142857142858,20.0,10.0,464.0
89980495,2024-08-11T07:54:41.000Z,55,12.0,20.01818181818182,150.0,10.0,1101.0
89980995,2024-08-11T08:27:02.000Z,44,11.0,13.0,20.0,10.0,572.0
89981495,2024-08-11T08:59:22.000Z,52,12.0,12.384615384615385,20.0,10.0,644.0
89981995,2024-08-11T09:31:41.000Z,65,15.0,14.307692307692308,30.0,10.0,930.0
89982495,2024-08-11T10:04:00.000Z,48,13.5,14.0625,30.0,10.0,675.0
89982995,2024-08-11T10:36:20.000Z,58,15.0,13.655172413793103,20.0,10.0,792.0
89983495,2024-08-11T11:08:31.000Z,52,10.0,12.807692307692308,20.0,10.0,666.0
89983995,2024-08-11T11:40:52.000Z,54,12.0,12.75925925925926,20.0,10.0,689.0
89984495,2024-08-11T12:13:11.000Z,47,12.0,16.25531914893617,150.0,10.0,764.0
89984995,2024-08-11T12:45:31.000Z,53,12.0,13.716981132075471,45.0,10.0,727.0
89985495,2024-08-11T13:17:50.000Z,22,15.0,16.0,20.0,12.0,352.0
89985995,2024-08-11T13:50:00.000Z,38,10.0,14.131578947368421,30.0,10.0,537.0
89986495,2024-08-11T14:22:20.000Z,51,15.0,13.215686274509803,20.0,10.0,674.0
89986995,2024-08-11T14:54:30.000Z,37,10.0,12.783783783783784,20.0,10.0,473.0
89987495,2024-08-11T15:26:50.000Z,36,15.0,13.75,20.0,10.0,495.0
89987995,2024-08-11T15:59:00.000Z,25,15.0,14.76,20.0,10.0,369.0
89988495,2024-08-11T16:31:02.000Z,51,15.0,16.470588235294116,30.0,10.0,840.0
89988995,2024-08-11T17:03:10.000Z,42,15.0,15.30952380952381,30.0,10.0,643.0
89989495,2024-08-11T17:35:10.000Z,43,15.0,16.023255813953487,30.0,10.0,689.0
89989995,2024-08-11T18:07:12.000Z,46,12.0,13.0,20.0,10.0,598.0
89990495,2024-08-11T18:39:21.000Z,30,13.5,13.9,30.0,10.0,417.0
89990995,2024-08-11T19:11:31.000Z,53,15.0,13.547169811320755,20.0,10.0,718.0
89991495,2024-08-11T19:43:41.000Z,45,12.0,16.8,150.0,10.0,756.0
89991995,2024-08-11T20:16:00.000Z,51,15.0,13.745098039215685,20.0,10.0,701.0
89992495,2024-08-11T20:48:10.000Z,49,15.0,118.61224489795919,5146.0,10.0,5812.0
89992995,2024-08-11T21:20:30.000Z,49,10.0,12.306122448979592,20.0,10.0,603.0
89993495,2024-08-11T21:52:42.000Z,38,15.0,5685.289473684211,67867.0,12.0,216041.0
89993995,2024-08-11T22:25:00.000Z,44,12.0,12.568181818181818,20.0,10.0,553.0
89994495,2024-08-11T22:57:10.000Z,57,12.0,14.43859649122807,100.0,10.0,823.0
89994995,2024-08-11T23:29:21.000Z,43,10.0,12.674418604651162,20.0,10.0,545.0
89995495,2024-08-12T00:01:31.000Z,42,15.0,13.404761904761905,20.0,10.0,563.0
89995995,2024-08-12T00:33:50.000Z,43,15.0,15.627906976744185,93.0,10.0,672.0
89996495,2024-08-12T01:06:02.000Z,34,12.0,17.176470588235293,150.0,10.0,584.0
89996995,2024-08-12T01:38:40.000Z,72,12.0,12.86111111111111,20.0,10.0,926.0
89997495,2024-08-12T02:10:52.000Z,52,10.0,12.365384615384615,20.0,10.0,643.0
89997995,2024-08-12T02:43:11.000Z,49,10.0,12.306122448979592,20.0,10.0,603.0
89998495,2024-08-12T03:15:41.000Z,48,13.5,13.479166666666666,20.0,10.0,647.0
89998995,2024-08-12T03:48:10.000Z,50,10.0,12.74,20.0,10.0,637.0
89999495,2024-08-12T04:20:31.000Z,45,10.0,12.222222222222221,20.0,10.0,550.0
89999995,2024-08-12T04:52:51.000Z,39,12.0,12.948717948717949,20.0,10.0,505.0
90000495,2024-08-12T05:25:12.000Z,47,12.0,12.446808510638299,20.0,10.0,585.0
90000995,2024-08-12T05:57:32.000Z,45,15.0,14.311111111111112,20.0,10.0,644.0
90001495,2024-08-12T06:30:01.000Z,48,11.0,12.9375,20.0,10.0,621.0
90001995,2024-08-12T07:02:20.000Z,47,10.0,12.340425531914894,20.0,10.0,580.0
90002495,2024-08-12T07:34:40.000Z,30,10.0,30.566666666666666,150.0,10.0,917.0
90002995,2024-08-12T08:06:41.000Z,39,10.0,25.71794871794872,150.0,10.0,1003.0
90003495,2024-08-12T08:38:41.000Z,30,10.0,13.8,54.0,10.0,414.0
90003995,2024-08-12T09:11:11.000Z,37,10.0,11.945945945945946,20.0,10.0,442.0
90004495,2024-08-12T09:43:51.000Z,28,10.0,12.785714285714286,20.0,10.0,358.0
