Ledger_Number,Transaction_Hash,Transaction_Fee,Account_ID,Gets_Currency_Code,Gets_Count,Gets_Currency_Issuer,Pays_Currency_Code,Pays_Count,Pays_Currency_Issuer,Error
92399495,860F94F0237FB462C96F84CACAF6128F26009137903C2212092EC5AEE85C2406,10,r3rhWeE31Jt5sWmi4QiGLMZnY3ENgqw96W,BCH,6.475087858726162,rcyS4CeCZVYvTiKcxj6Sx32ibKwcDHLds,BTC,0.03592934436061311,rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL,
92399495,CB426DFC5686290E3405898F4F8B5CEE6F4B5F65A87C86989A654AA325952DEB,10,r3rhWeE31Jt5sWmi4QiGLMZnY3ENgqw96W,BCH,11.74747623002953,rcyS4CeCZVYvTiKcxj6Sx32ibKwcDHLds,BTC,0.06518507980830443,rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL,
92399495,345097E38060077F269489C7651558E6A724369EC7F1DC36C1D6B7F00CAB1FB0,10,r3rhWeE31Jt5sWmi4QiGLMZnY3ENgqw96W,DSH,16.76876065567532,rcXY84C4g14iFp6taFXjjQGVeHqSCh9RX,USD,699.4703273527793,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,
92399495,998F6C245CE2207A6530DF9BA2CBAFA54EBE74CA3BBABC30A4D3113386C89E24,10,r3rhWeE31Jt5sWmi4QiGLMZnY3ENgqw96W,DSH,30.38650977149939,rcXY84C4g14iFp6taFXjjQGVeHqSCh9RX,USD,1267.503447238101,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,
92399495,9AD05EA1DF309191CE417D1FC1A299F4DBB5E20072A69BC8B5ED8813CD42609C,10,r3rhWeE31Jt5sWmi4QiGLMZnY3ENgqw96W,ETH,16.93722198478051,rcA8X3TVMST1n3CJeAdGk1RdRCHii7N2h,EUR,59656.49007638585,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,
92399495,D47156D2786161AE98E535E7855CBA187D8DE0E28309FD0840DD0BFBA8558EE6,10,r3rhWeE31Jt5sWmi4QiGLMZnY3ENgqw96W,ETH,30.69177692439672,rcA8X3TVMST1n3CJeAdGk1RdRCHii7N2h,EUR,108102.9514262842,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,
92369495,D7C5B96AC6BC74E1B52438454A83096B44429A97BCFDAA570DC393AAF99F9CBD,15,r4AZpDKVoBxVcYUJCWMcqZzyWsHTteC4ZE,XRP,5351470206,,CNY,53994.14028463097,rJ1adrpGS3xsnQMb9Cw54tWJVFPuSdZHK,
92369495,2C7B7ACC0C0A7449FFD3D66CA9911F855512749E5435118E73D53DC1F9A518DD,15,r4AZpDKVoBxVcYUJCWMcqZzyWsHTteC4ZE,XRP,1953773377,,CNY,22852.52522086728,rJ1adrpGS3xsnQMb9Cw54tWJVFPuSdZHK,
92369495,E2CD3EB1376919FDE590DF78BF159B4A62352CEB120340CBA2F5417CB4E83423,15,r4AZpDKVoBxVcYUJCWMcqZzyWsHTteC4ZE,XRP,1346135075,,CNY,18253.03970315419,rJ1adrpGS3xsnQMb9Cw54tWJVFPuSdZHK,
92369495,A7EDF05A46113AE42231A477D0A56292DAA82B85ADB11484A6E961766BDBD38B,15,r4AZpDKVoBxVcYUJCWMcqZzyWsHTteC4ZE,XRP,7970342215,,CNY,125288.0409750136,rJ1adrpGS3xsnQMb9Cw54tWJVFPuSdZHK,
92369495,5C2741F44D517BCA2A240A498FB57EB05A460E971F3FAC9FF8EB77791BBF6515,15,rMdpzP6SSRcNDSgHQGGx4hV3qeRiuRoqQM,534F4C4F00000000000000000000000000000000,15.683388,rsoLo2S1kiGeCcn6hCUXVrCpGMWLrRrLZz,XRP,7402559,,
92369495,88FBFB0B79661046275E7EEE952AC83AB0FF0EF8AF7EA06B21ACDC211C4BE160,15,rMdpzP6SSRcNDSgHQGGx4hV3qeRiuRoqQM,XRP,457449449,,534F4C4F00000000000000000000000000000000,983.227296,rsoLo2S1kiGeCcn6hCUXVrCpGMWLrRrLZz,
92369495,FBBF36D6945466AA458C8583AFBC2B1ED4526AC9A69C8C714B968E5C25B97F24,15,rMdpzP6SSRcNDSgHQGGx4hV3qeRiuRoqQM,534F4C4F00000000000000000000000000000000,3.143809,rsoLo2S1kiGeCcn6hCUXVrCpGMWLrRrLZz,XRP,1532013,,
92369495,B89B112F412F33AD59BD7FC1CB6B4A8E36A831FF9B58961D7EB088DA42130F62,15,r4dgY6Mzob3NVq8CFYdEiPnXKboRScsXRu,CNY,77311.2700052697,rJ1adrpGS3xsnQMb9Cw54tWJVFPuSdZHK,XRP,8128522328,,
92369495,A69B23A3337DF2A139D1B7931D4C1428007E2925DA6BA4DFCB74D6EBDD3F6DAA,15,r4dgY6Mzob3NVq8CFYdEiPnXKboRScsXRu,CNY,82782.3304136729,rJ1adrpGS3xsnQMb9Cw54tWJVFPuSdZHK,XRP,10090028900,,
92369495,B0F4BD0A450EFF34D28E74DC5CEFE7A7D437EC4BFA23BD3F5854FDC27BA90D2F,15,r4dgY6Mzob3NVq8CFYdEiPnXKboRScsXRu,CNY,43582.08843128228,rJ1adrpGS3xsnQMb9Cw54tWJVFPuSdZHK,XRP,6158123717,,
92369495,689A36703A6E5170237FA6B9303D7B04822781D5D8CE709F6E81EB08585CA9DF,15,r4dgY6Mzob3NVq8CFYdEiPnXKboRScsXRu,CNY,101391.8186190204,rJ1adrpGS3xsnQMb9Cw54tWJVFPuSdZHK,XRP,16608458977,,
92369495,DFB48346F0D68E4C951A3E65CFF3570818CD24336D2A82C8F2F39F83B059B0CF,15,rE5rYEY8W4ZKzKUg3Q9by6cz33sRKWbADR,434F524500000000000000000000000000000000,194.944974,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,XRP,36902889,,
92369495,ACABFBC4C3FC7781C7BE58CC1BDAC872ABB347E50823184994DA71ABE45DCA11,12,rGyyL5gmtQqrK77mWTQo5xaKu8KFbLaXKy,XRP,5096270,,XXC,7280.42362935371,rfjxCC4Nkwo8jGn3NKk4y3ji3u35X1M8oE,
92369495,00447B406D11BF67DA04A8A3F6AAD0CF17EE842299B85B01843661C329C1A81F,150,rE7eZLmsxigTdWpLExyzLkDBGJMAzcasPj,5553445400000000000000000000000000000000,400.234707,rcvxE9PS9YBwxtGg1qNeewV6ZB3wGubZq,XRP,298715849,,
92369495,CE98EEF0EB89488B7F34DEB1B099FECC2D9BACB039972E08A967B858FD09D4B1,20,rBTwLga3i2gz3doX6Gva3MgEV8ZCD8jjah,XRP,28178000000,,USD,40053.33632,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,
92369495,1CD7B04686DC5BE9EA79BA8DB1F7A918D0197CA1DB6968555CBC55A9F2016813,20,rBTwLga3i2gz3doX6Gva3MgEV8ZCD8jjah,XRP,28178000000,,EUR,37308.643661974,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,
92369495,BE0979C3BB7A715259EC93B08F3B80CB890E5E2D7117948BE3528C3027C169D5,20,rBTwLga3i2gz3doX6Gva3MgEV8ZCD8jjah,5553444300000000000000000000000000000000,260000.144,rcEGREd8NmkKRE8GE424sksyt1tJVFZwu,XRP,200000000000,,
92369495,9AC9594D7DBD831E52B4A8D3B7D0CC95580C878D1B0A10774BD3ECF3B1E92F5E,20,rBTwLga3i2gz3doX6Gva3MgEV8ZCD8jjah,XRP,28178000000,,5553444300000000000000000000000000000000,38355.566284352,rcEGREd8NmkKRE8GE424sksyt1tJVFZwu,
92369495,F02DF1D0F576886DD3B46F13F6FF4A5BECD8C56B067C2735C35BD777307F93E1,20,rBTwLga3i2gz3doX6Gva3MgEV8ZCD8jjah,5553445400000000000000000000000000000000,257510,rcvxE9PS9YBwxtGg1qNeewV6ZB3wGubZq,XRP,200000000000,,
92369495,B4AC087B26DD1BE34CC0A1C4DEA5852CC14D7625E2975CDE09A5B25F7D13E86F,20,rBTwLga3i2gz3doX6Gva3MgEV8ZCD8jjah,XRP,28178000000,,5553445400000000000000000000000000000000,38470.193514834,rcvxE9PS9YBwxtGg1qNeewV6ZB3wGubZq,
